b1,b2,control_10,experimental_10,control_8,experimental_8,control_12,experimental_12
1,9,0.608741722,0.636379691,0.6263134657836640,0.6386754966887420,"0.6386754966887417
","0.6386754966887417
"
2,8,0.378631347,0.117350993,"0.39708609271523176
",0.15620309050772600,0.39514348785872000,0.09262693156732890
3,7,0.269933775,0.07196468,0.28061810154525400,0.09492273730684330,0.28856512141280400,0.11090507726269300
4,6,0.208211921,0.090242826,"0.21951434878587198
",0.2258719646799120,0.2258719646799120,0.11938189845474600
5,5,0.175540839,0.181633554,"0.17739514348785873
",0.09492273730684330,"0.18269315673289183
",0.040794701986755000
6,4,0.142075055,0.092538631,0.15726269315673300,0.15620309050772600,0.15620309050772600,0.15620309050772600
7,3,0.129713024,0.070286976,0.13192052980132500,0.13474613686534200,0.13474613686534200,0.040794701986755000
8,2,0.110198675,0.118852097,,,0.11938189845474600,0.11938189845474600
9,1,0.10004415,0.104635762,,,0.11090507726269300,0.11090507726269300
10,,,,,,0.09262693156732890,0.09660044150110380
11,,,,,,0.08768211920529800,0.08565121412803530
